,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,trending,github_release_downloads,updated_github_id
23,casadi-nlp,csnlp,FilippoAiraldi/casadi-nlp,,https://github.com/FilippoAiraldi/casadi-nlp,https://github.com/FilippoAiraldi/casadi-nlp,MIT,2022-11-02 20:10:28,2026-01-26 17:32:44.000,2026-01-19 18:22:16,955.0,14.0,2.0,5.0,20.0,,1.0,26.0,2025-10-16 20:32:59.000,1.6.8,78.0,Nonlinear Progamming with CasADi.,27.0,22.0,4.0,16,https://pypi.org/project/csnlp,2025-10-16 20:24:41.000,5.0,934.0,934.0,,,,False,mpc,2,,,
24,qpOASES,,coin-or/qpOASES,conda-forge/qpoases,https://github.com/coin-or/qpOASES,https://github.com/coin-or/qpOASES,LGPL-2.1,2020-02-19 04:13:16,2025-09-17 12:28:24.000,2025-09-17 12:28:24,196.0,,146.0,14.0,15.0,81.0,59.0,514.0,,,2.0,Open-source C++ implementation of the recently proposed online active set strategy.,,,19.0,15,,,,,1709.0,https://anaconda.org/conda-forge/qpoases,2025-04-22 14:58:14.536,78627.0,True,solver,3,,,
25,SIPPY,sippy_unipi,CPCLAB-UNIPI/SIPPY,,https://github.com/CPCLAB-UNIPI/SIPPY,https://github.com/CPCLAB-UNIPI/SIPPY,LGPL-3.0,2018-04-04 13:55:24,2025-10-14 09:22:26.000,2025-10-14 09:22:23,127.0,,96.0,20.0,26.0,19.0,29.0,324.0,2025-09-02 09:31:24.000,1.0.1,3.0,Systems Identification Package for PYthon.,,,12.0,15,https://pypi.org/project/sippy_unipi,2025-09-02 09:31:24.000,,284.0,284.0,,,,True,others,2,,,
26,Fatrop,,meco-group/fatrop,conda-forge/libfatrop,https://github.com/meco-group/fatrop,https://meco-group.github.io/fatrop/,LGPL-3.0,2023-07-19 12:05:33,2026-01-30 15:29:13.000,2026-01-30 15:28:49,187.0,3.0,27.0,18.0,13.0,20.0,12.0,257.0,,,2.0,"Fatrop is a nonlinear optimal control problem solver that aims to be fast, support a broad class of optimal control..",,,5.0,15,,,,,5667.0,https://anaconda.org/conda-forge/libfatrop,2025-04-22 14:59:10.489,102023.0,True,solver,3,,,
27,HILO-MPC,hilo-mpc,hilo-mpc/hilo-mpc,,https://github.com/hilo-mpc/hilo-mpc,https://github.com/hilo-mpc/hilo-mpc,LGPL-3.0,2022-03-30 13:20:17,2026-01-05 12:45:31.000,2025-11-09 15:24:15,349.0,2.0,36.0,5.0,20.0,19.0,16.0,194.0,2025-11-09 15:39:59.000,2.1.0,9.0,"HILO-MPC is a Python toolbox for easy, flexible and fast development of machine-learning-supported optimal control and..",3.0,3.0,9.0,15,https://pypi.org/project/hilo-mpc,2025-11-09 15:20:09.000,,117.0,117.0,,,,True,mpc,2,-3.0,18.0,
28,safe-control-gym,,utiasDSL/safe-control-gym,,https://github.com/utiasDSL/safe-control-gym,https://www.dynsyslab.org/safe-robot-learning/,MIT,2021-08-04 22:14:15,2025-11-06 19:47:30.000,2025-11-06 19:43:08,546.0,1.0,151.0,10.0,134.0,16.0,53.0,834.0,2024-10-21 14:55:01.000,1.0.0,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,20.0,14,,,,,,,,,True,machine-learning,2,,,
29,HPIPM,,giaf/hpipm,,https://github.com/giaf/hpipm,https://github.com/giaf/hpipm,,2017-05-12 08:20:10,2025-12-27 10:02:11.000,2025-12-27 10:01:51,1506.0,1.0,135.0,20.0,81.0,44.0,55.0,665.0,2020-08-13 11:22:57.000,0.1.3,4.0,High-performance interior-point-method QP and QCQP solvers.,,,27.0,14,,,,,,,,,True,solver,3,,,
30,OpTaS,pyoptas,cmower/optas,,https://github.com/cmower/optas,https://cmower.github.io/optas/,Apache-2.0,2022-04-28 17:48:06,2025-11-01 00:14:51.000,2025-11-01 00:14:51,1039.0,,18.0,2.0,94.0,9.0,54.0,138.0,2023-08-04 09:53:01.000,1.0.7,7.0,OpTaS: An optimization-based task specification library for trajectory optimization and model predictive control.,5.0,5.0,6.0,14,https://pypi.org/project/pyoptas,2023-08-04 09:53:01.000,,1018.0,1018.0,,,,True,mpc,2,,,
31,(Geometric) Fabrics,fabrics,tud-amr/fabrics,,https://github.com/tud-amr/fabrics,https://github.com/tud-amr/fabrics,GPL-3.0,2021-06-30 09:32:19,2025-02-01 00:57:30.000,2025-02-01 00:55:36,577.0,,12.0,6.0,101.0,16.0,28.0,92.0,2025-02-01 00:55:39.000,0.10.0,17.0,Optimization fabrics for behavior design.,18.0,16.0,7.0,14,https://pypi.org/project/fabrics,2025-02-01 00:57:23.000,2.0,108.0,108.0,,,,True,others,2,,,
32,liecasadi,liecasadi,ami-iit/liecasadi,conda-forge/liecasadi,https://github.com/gbionics/liecasadi,https://github.com/gbionics/liecasadi,BSD-3-Clause,2022-01-19 14:19:15,2025-07-15 08:29:02.000,2025-07-15 08:29:02,126.0,,8.0,18.0,14.0,,5.0,87.0,2025-03-11 15:55:17.000,0.0.7,7.0,"Rigid transform using Lie groups and Dual Quaternions, written in CasADi!.",10.0,10.0,4.0,14,https://pypi.org/project/liecasadi,2025-03-11 15:55:57.000,,728.0,920.0,https://anaconda.org/conda-forge/liecasadi,2025-04-22 14:58:43.547,5959.0,True,others,2,,13.0,gbionics/liecasadi
33,pc-gym,pcgym,MaximilianB2/pc-gym,,https://github.com/MaximilianB2/pc-gym,https://maximilianb2.github.io/pc-gym/,MIT,2023-08-22 16:43:28,2025-11-10 17:51:38.000,2025-10-21 15:14:45,321.0,,10.0,3.0,18.0,,12.0,73.0,2024-12-03 13:42:07.000,0.1.8,13.0,Reinforcement learning environments for process control applications.,5.0,5.0,7.0,14,https://pypi.org/project/pcgym,2024-12-03 13:42:07.000,,226.0,226.0,,,,True,machine-learning,2,,,
34,nosnoc,,nosnoc/nosnoc,,https://github.com/nosnoc/nosnoc,https://nosnoc.readthedocs.io/,BSD-2-Clause,2022-03-15 12:37:04,2025-12-04 08:04:37.000,2025-04-02 12:59:51,274.0,,10.0,5.0,96.0,28.0,27.0,70.0,2025-12-04 08:04:37.000,0.9.0,10.0,nosnoc is an open-source MATLAB software package for NOnSmooth Numerical Optimal Control. The Python package nosnoc_py..,,,3.0,14,,,,,,,,,True,mpc,2,,,
35,MPOPT,mpopt,mpopt/mpopt,,https://github.com/mpopt/mpopt,https://mpopt.readthedocs.io/,LGPL-3.0,2020-06-18 18:10:34,2024-07-04 07:14:03.000,2024-07-04 07:11:37,226.0,,21.0,5.0,35.0,5.0,,66.0,2024-07-04 07:14:03.000,1.0.2,19.0,A pseudo-spectral collocation based multi-phase Optimal control problem solver.,3.0,3.0,6.0,14,https://pypi.org/project/mpopt,2024-07-04 07:14:03.000,,298.0,298.0,,,,True,mpc,2,,,
36,OpenAP,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-01-20 13:51:16.000,2026-01-20 13:48:21,94.0,12.0,11.0,5.0,6.0,,7.0,38.0,2026-01-20 13:50:59.000,1.10,10.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,14,https://pypi.org/project/openap-top,2026-01-20 13:51:16.000,,326.0,326.0,,,,False,robotics,2,4.0,,
37,openap-top,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-01-20 13:51:16.000,2026-01-20 13:48:21,94.0,12.0,11.0,5.0,6.0,,7.0,38.0,2026-01-20 13:50:59.000,1.10,10.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,14,https://pypi.org/project/openap-top,2026-01-20 13:51:16.000,,326.0,326.0,,,,False,others,2,4.0,,
38,Impact,impact-meco,meco-group/impact,,https://github.com/meco-group/impact,https://meco-software.pages.gitlab.kuleuven.be/impact/,LGPL-3.0,2023-09-25 07:56:34,2026-01-29 13:38:47.000,2026-01-26 13:49:02,216.0,14.0,1.0,6.0,,,,7.0,2025-12-11 14:05:55.000,0.6.0,23.0,"Impact: A Toolchain for Nonlinear Model Predictive Control Specification, Prototyping, and Deployment.",3.0,3.0,6.0,14,https://pypi.org/project/impact-meco,2026-01-29 13:38:47.000,,339.0,339.0,,,,True,casadi-devs,3,,,
39,jaxadi,jaxadi,based-robotics/jaxadi,,https://github.com/based-robotics/jaxadi,https://github.com/based-robotics/jaxadi,MIT,2024-09-02 14:04:27,2025-02-23 04:21:56.000,2025-02-08 08:01:39,37.0,,7.0,9.0,9.0,2.0,9.0,174.0,2025-02-08 08:14:07.000,0.4.0,4.0,Transforms your CasADi functions into batchable JAX-compatible functions. By combining the power of CasADi with the..,1.0,1.0,3.0,12,https://pypi.org/project/jaxadi,2025-02-08 08:02:39.000,,36.0,36.0,,,,True,machine-learning,3,,,
40,rbdl-orb,,ORB-HD/rbdl-orb,,https://github.com/ORB-HD/rbdl-orb,https://github.com/ORB-HD/rbdl-orb,,2019-03-26 10:51:42,2022-04-20 14:55:38.000,2022-04-20 14:55:38,1389.0,,48.0,4.0,47.0,15.0,,100.0,2021-09-30 12:53:24.000,3.1.3,2.0,RBDL - Rigid Body Dynamics Library - ORB Version - The two main differences to the original rbdl is that this version..,,,25.0,12,,,,,,,,,False,robotics,3,,,
41,matADi,matadi,adtzlr/matadi,,https://github.com/adtzlr/matadi,https://github.com/adtzlr/matadi,GPL-3.0,2021-09-20 18:53:28,2025-08-28 19:30:43.000,2025-08-28 19:29:32,487.0,,2.0,4.0,86.0,2.0,56.0,32.0,2025-08-28 19:30:43.000,0.4.0,56.0,Material Definition with Automatic Differentiation.,5.0,3.0,2.0,12,https://pypi.org/project/matadi,2025-08-28 19:30:43.000,2.0,551.0,551.0,,,,False,others,3,,,
